year,make,model,model_type,score_band,mileage_band,comparable_count,median_price_yen,mean_price_yen,min_price_yen,max_price_yen
2006,MITSUBISHI,CANTER,FE71DBD,R,90k-120k,1,887000,887000,887000,887000
2006,MITSUBISHI,CANTER,FE72DB,3-3.5,200k+,2,383500,383500,365000,402000
2006,MITSUBISHI,CANTER,FE72DE,3-3.5,150k-200k,1,574000,574000,574000,574000
2006,MITSUBISHI,CANTER,FE72DE,4-4.5,90k-120k,1,840000,840000,840000,840000
2006,MITSUBISHI,CANTER,FE72DEV,3-3.5,120k-150k,2,445000,445000,422000,468000
2006,MITSUBISHI,CANTER,FE72DEV,3-3.5,150k-200k,3,439000,415000,363000,443000
2006,MITSUBISHI,CANTER,FE72DEV,3-3.5,30k-60k,1,573000,573000,573000,573000
2006,MITSUBISHI,CANTER,FE72DEV,R,200k+,1,646000,646000,646000,646000
2006,MITSUBISHI,CANTER,FE73DB,3-3.5,150k-200k,3,608000,578000,450000,676000
2006,MITSUBISHI,CANTER,FE73DB,3-3.5,200k+,3,490000,502333,473000,544000
2006,MITSUBISHI,CANTER,FE73DB,3-3.5,30k-60k,3,681000,675666,649000,697000
2006,MITSUBISHI,CANTER,FE73DB,3-3.5,60k-90k,5,575000,757600,501000,1541000
2006,MITSUBISHI,CANTER,FE73DB,3-3.5,90k-120k,1,515000,515000,515000,515000
2006,MITSUBISHI,CANTER,FE73DB,R,200k+,2,443500,443500,385000,502000
2006,MITSUBISHI,CANTER,FE73DBX,R,30k-60k,1,511000,511000,511000,511000
2006,MITSUBISHI,CANTER,FE73DC,3-3.5,90k-120k,2,1868000,1868000,1133000,2603000
2006,MITSUBISHI,CANTER,FE73DCY,3-3.5,0-30k,1,544000,544000,544000,544000
2006,MITSUBISHI,CANTER,FE73DEX,3-3.5,200k+,1,823000,823000,823000,823000
2006,MITSUBISHI,CANTER,FE73DEY,3-3.5,200k+,2,862000,862000,813000,911000
2006,MITSUBISHI,CANTER,FE82DE,3-3.5,120k-150k,1,893000,893000,893000,893000
